Location,White,Black,Hispanic,Asian/Native Hawaiian and Pacific Islander,American Indian/Alaska Native,Multiple Races,Total,Year
Pennsylvania,0.09300000000000001,0.264,0.28300000000000003,0.133,0.345,0.20600000000000002,0.128,2016
Rhode Island,0.095,0.205,0.23199999999999998,0.105,0.26397499999999996,0.264,0.127,2016
South Carolina,0.10099999999999999,0.244,0.262,0.107,0.26397499999999996,0.293,0.152,2016
South Dakota,0.081,0.2580227272727273,0.306,0.1293658536585366,0.555,0.32799999999999996,0.138,2016
Tennessee,0.125,0.261,0.287,0.10400000000000001,0.26397499999999996,0.20600000000000002,0.157,2016
Texas,0.08900000000000001,0.204,0.223,0.10800000000000001,0.129,0.149,0.157,2016
Utah,0.08199999999999999,0.392,0.18,0.145,0.363,0.124,0.10400000000000001,2016
Vermont,0.111,0.2580227272727273,0.22753846153846163,0.1293658536585366,0.26397499999999996,0.2008333333333334,0.11199999999999999,2016
Virginia,0.086,0.182,0.153,0.07200000000000001,0.099,0.146,0.111,2016
Washington,0.092,0.22,0.195,0.096,0.242,0.14800000000000002,0.114,2016
West Virginia,0.17600000000000002,0.245,0.267,0.1293658536585366,0.26397499999999996,0.315,0.183,2016
Wisconsin,0.08800000000000001,0.313,0.242,0.18600000000000003,0.271,0.198,0.11800000000000001,2016
Wyoming,0.105,0.2580227272727273,0.17800000000000002,0.1293658536585366,0.21600000000000003,0.2008333333333334,0.11699999999999999,2016
Puerto Rico,0.375,0.452,0.442,0.1293658536585366,0.26397499999999996,0.406,0.441,2016
United States,0.096,0.22899999999999998,0.193,0.11199999999999999,0.262,0.159,0.134,2017
Alabama,0.11699999999999999,0.26899999999999996,0.306,0.193,0.2637368421052632,0.239,0.168,2017
Alaska,0.083,0.24686363636363629,0.21098,0.12899999999999998,0.24600000000000002,0.11199999999999999,0.11699999999999999,2017
Arizona,0.10099999999999999,0.23,0.19699999999999998,0.109,0.36,0.14300000000000002,0.147,2017
Arkansas,0.13,0.278,0.237,0.15,0.284,0.163,0.162,2017
California,0.08900000000000001,0.204,0.174,0.10300000000000001,0.177,0.121,0.132,2017
Colorado,0.083,0.136,0.163,0.086,0.128,0.122,0.10300000000000001,2017
Connecticut,0.057999999999999996,0.147,0.204,0.08800000000000001,0.2637368421052632,0.11900000000000001,0.094,2017
Delaware,0.094,0.19,0.20199999999999999,0.12300000000000001,0.2637368421052632,0.19,0.129,2017
District of Columbia,0.059000000000000004,0.249,0.154,0.175,0.2637368421052632,0.17475000000000004,0.16399999999999998,2017
Florida,0.1,0.217,0.177,0.135,0.18899999999999997,0.166,0.14,2017
Georgia,0.099,0.218,0.23800000000000002,0.09699999999999999,0.171,0.20600000000000002,0.152,2017
Hawaii,0.102,0.24686363636363629,0.188,0.095,0.2637368421052632,0.092,0.106,2017
Idaho,0.11900000000000001,0.602,0.188,0.157,0.201,0.124,0.132,2017
Illinois,0.08900000000000001,0.261,0.152,0.114,0.185,0.172,0.127,2017
Indiana,0.11,0.261,0.214,0.17,0.16699999999999998,0.22899999999999998,0.135,2017
Iowa,0.087,0.32899999999999996,0.14300000000000002,0.14400000000000002,0.2637368421052632,0.183,0.102,2017
Kansas,0.098,0.27899999999999997,0.16699999999999998,0.161,0.19399999999999998,0.16,0.12,2017
Kentucky,0.162,0.249,0.26,0.16,0.2637368421052632,0.239,0.174,2017
Louisiana,0.122,0.337,0.245,0.16699999999999998,0.245,0.21,0.2,2017
Maine,0.106,0.24686363636363629,0.19399999999999998,0.12899999999999998,0.369,0.213,0.114,2017
Maryland,0.064,0.134,0.14,0.071,0.2637368421052632,0.12,0.094,2017
Massachusetts,0.067,0.16399999999999998,0.253,0.159,0.2637368421052632,0.14,0.10400000000000001,2017
Michigan,0.109,0.297,0.21100000000000002,0.094,0.152,0.223,0.142,2017
Minnesota,0.07,0.27899999999999997,0.23399999999999999,0.127,0.268,0.121,0.098,2017
Mississippi,0.11900000000000001,0.313,0.179,0.16399999999999998,0.39,0.256,0.19699999999999998,2017
Missouri,0.11199999999999999,0.237,0.17300000000000001,0.20199999999999999,0.159,0.19699999999999998,0.133,2017
Montana,0.107,0.24686363636363629,0.226,0.12899999999999998,0.27399999999999997,0.205,0.126,2017
Nebraska,0.077,0.275,0.21100000000000002,0.207,0.20199999999999999,0.188,0.107,2017
Nevada,0.091,0.295,0.157,0.10300000000000001,0.268,0.114,0.131,2017
New Hampshire,0.07,0.21,0.21098,0.091,0.2637368421052632,0.17475000000000004,0.075,2017
New Jersey,0.055999999999999994,0.17800000000000002,0.17300000000000001,0.065,0.2637368421052632,0.109,0.09699999999999999,2017
New Mexico,0.11800000000000001,0.24100000000000002,0.23199999999999998,0.12899999999999998,0.33799999999999997,0.205,0.196,2017
